job_index,block_id,route,family,split,evaluation_seed,traffic_manager_seed,arm,order_position,job_id,collision,collision_pedestrian,collision_vehicle,collision_layout,route_completion,driving_score,success,timeout,route_timeout,scenario_timeout,blocked,route_deviation,frame_count,switch_rate,original_flagged_rate,all_unsafe_rate,mechanism_available
987,block-0329,Generalization_BadParking_1008,BadParking_008,Generalization,3,30008,baseline,1,Generalization_BadParking_1008__s3__baseline,1.0,0.0,1.0,0.0,100.0,53.139732,0.0,0.0,0.0,0.0,0.0,0.0,958,0.0,0.0,0.0,1
988,block-0329,Generalization_BadParking_1008,BadParking_008,Generalization,3,30008,temporal,2,Generalization_BadParking_1008__s3__temporal,1.0,0.0,1.0,0.0,100.0,54.105027,0.0,0.0,0.0,0.0,0.0,0.0,4081,0.041411418769909336,0.8657191864739034,0.8240627297231071,1
989,block-0329,Generalization_BadParking_1008,BadParking_008,Generalization,3,30008,current_frame,3,Generalization_BadParking_1008__s3__current_frame,1.0,0.0,1.0,0.0,100.0,31.811401,0.0,1.0,0.0,1.0,0.0,0.0,5293,0.022293595314566407,0.901001322501417,0.8787077271868505,1
990,block-0330,Generalization_ImageOnObject_1042,ImageOnObject_042,Generalization,2,20042,current_frame,1,Generalization_ImageOnObject_1042__s2__current_frame,0.0,0.0,0.0,0.0,100.0,81.2739,1.0,0.0,0.0,0.0,0.0,0.0,814,0.07493857493857493,0.1547911547911548,0.07985257985257985,1
991,block-0330,Generalization_ImageOnObject_1042,ImageOnObject_042,Generalization,2,20042,baseline,2,Generalization_ImageOnObject_1042__s2__baseline,0.0,0.0,0.0,0.0,100.0,78.368876,1.0,0.0,0.0,0.0,0.0,0.0,871,0.0,0.0,0.0,1
992,block-0330,Generalization_ImageOnObject_1042,ImageOnObject_042,Generalization,2,20042,temporal,3,Generalization_ImageOnObject_1042__s2__temporal,0.0,0.0,0.0,0.0,100.0,78.336039,1.0,0.0,0.0,0.0,0.0,0.0,866,0.06466512702078522,0.09815242494226328,0.03348729792147806,1
993,block-0331,Generalization_BadParking_1002,BadParking_002,Generalization,2,20002,current_frame,1,Generalization_BadParking_1002__s2__current_frame,0.0,0.0,0.0,0.0,100.0,47.816296,1.0,0.0,0.0,0.0,0.0,0.0,1183,0.15722738799661876,0.18258664412510567,0.0253592561284869,1
994,block-0331,Generalization_BadParking_1002,BadParking_002,Generalization,2,20002,baseline,2,Generalization_BadParking_1002__s2__baseline,1.0,0.0,1.0,0.0,100.0,28.999618,0.0,0.0,0.0,0.0,0.0,0.0,1277,0.0,0.0,0.0,1
995,block-0331,Generalization_BadParking_1002,BadParking_002,Generalization,2,20002,temporal,3,Generalization_BadParking_1002__s2__temporal,0.0,0.0,0.0,0.0,100.0,48.302083,1.0,0.0,0.0,0.0,0.0,0.0,1147,0.14995640802092414,0.17349607672188316,0.023539668700959023,1
996,block-0332,Generalization_PedestriansOnRoad_1087,PedestriansOnRoad_087,Generalization,2,20087,current_frame,1,Generalization_PedestriansOnRoad_1087__s2__current_frame,1.0,0.0,1.0,0.0,18.6,3.649257,0.0,1.0,1.0,0.0,0.0,0.0,6581,0.2729068530618447,0.8255584257711593,0.5251481537760219,1
997,block-0332,Generalization_PedestriansOnRoad_1087,PedestriansOnRoad_087,Generalization,2,20087,temporal,2,Generalization_PedestriansOnRoad_1087__s2__temporal,0.0,0.0,0.0,0.0,100.0,68.776258,1.0,0.0,0.0,0.0,0.0,0.0,1439,0.13620569840166782,0.1841556636553162,0.04794996525364837,1
